"Step","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - FID score","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - FID score__MIN","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - FID score__MAX","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - FID score","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - FID score__MIN","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - FID score__MAX","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - FID score","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - FID score__MIN","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - FID score__MAX","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - FID score","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - FID score__MIN","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - FID score__MAX","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - FID score","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - FID score__MIN","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - FID score__MAX"
"2000","55.32912092038691","55.32912092038691","55.32912092038691","51.430820704411474","51.430820704411474","51.430820704411474","47.41836798046296","47.41836798046296","47.41836798046296","43.92978987583092","43.92978987583092","43.92978987583092","42.77903939489215","42.77903939489215","42.77903939489215"
"4000","49.49375057404643","49.49375057404643","49.49375057404643","45.66177209797189","45.66177209797189","45.66177209797189","44.66367327468407","44.66367327468407","44.66367327468407","40.28736618588681","40.28736618588681","40.28736618588681","38.598952914298025","38.598952914298025","38.598952914298025"
"6000","49.09054658466994","49.09054658466994","49.09054658466994","42.64552446368725","42.64552446368725","42.64552446368725","45.63419749174369","45.63419749174369","45.63419749174369","40.80316016755148","40.80316016755148","40.80316016755148","39.075234280374616","39.075234280374616","39.075234280374616"
"8000","49.99409517859482","49.99409517859482","49.99409517859482","44.552748277738885","44.552748277738885","44.552748277738885","48.50893650604701","48.50893650604701","48.50893650604701","42.341865001944825","42.341865001944825","42.341865001944825","41.80912900694881","41.80912900694881","41.80912900694881"
"10000","51.2591995766511","51.2591995766511","51.2591995766511","45.0762637168952","45.0762637168952","45.0762637168952","52.407095562630616","52.407095562630616","52.407095562630616","43.7435629998933","43.7435629998933","43.7435629998933","43.623980278668284","43.623980278668284","43.623980278668284"
"12000","54.1282189833089","54.1282189833089","54.1282189833089","48.44325980082664","48.44325980082664","48.44325980082664","52.174047896059506","52.174047896059506","52.174047896059506","42.93786643985669","42.93786643985669","42.93786643985669","49.79398754946499","49.79398754946499","49.79398754946499"
"14000","57.46715188338379","57.46715188338379","57.46715188338379","50.57804865304291","50.57804865304291","50.57804865304291","53.348095602714295","53.348095602714295","53.348095602714295","43.15096102172242","43.15096102172242","43.15096102172242","80.51298338560571","80.51298338560571","80.51298338560571"
"16000","63.911914942430826","63.911914942430826","63.911914942430826","57.008856372459604","57.008856372459604","57.008856372459604","51.890005259345","51.890005259345","51.890005259345","42.622477196759405","42.622477196759405","42.622477196759405","124.18446571936761","124.18446571936761","124.18446571936761"
"18000","75.95937408348254","75.95937408348254","75.95937408348254","73.50088485147108","73.50088485147108","73.50088485147108","51.62789805552018","51.62789805552018","51.62789805552018","42.97256947695189","42.97256947695189","42.97256947695189","171.99113170297244","171.99113170297244","171.99113170297244"
"20000","92.8890389904065","92.8890389904065","92.8890389904065","95.40219094268087","95.40219094268087","95.40219094268087","51.22439733513693","51.22439733513693","51.22439733513693","44.697423074904975","44.697423074904975","44.697423074904975","209.28494264272382","209.28494264272382","209.28494264272382"
