"Step","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - IS score","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - IS score__MIN","imbcifar10_CIFAR10_div5-ReACGAN_div5-train-2022_08_31_11_00_25 - IS score__MAX","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - IS score","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - IS score__MIN","imbcifar10_CIFAR10_div4-ReACGAN_div4-train-2022_08_31_11_00_21 - IS score__MAX","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - IS score","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - IS score__MIN","imbcifar10_CIFAR10_div3-ReACGAN_div3-train-2022_08_31_11_00_15 - IS score__MAX","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - IS score","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - IS score__MIN","imbcifar10_CIFAR10_div2-ReACGAN_div2-train-2022_08_31_10_59_56 - IS score__MAX","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - IS score","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - IS score__MIN","IMBCIFAR10_CIFAR10-ReACGAN-train-2022_08_26_04_47_01 - IS score__MAX"
"2000","5.064585208892822","5.064585208892822","5.064585208892822","5.036965847015381","5.036965847015381","5.036965847015381","5.032471656799316","5.032471656799316","5.032471656799316","5.576171398162842","5.576171398162842","5.576171398162842","6.433595657348633","6.433595657348633","6.433595657348633"
"4000","5.622015953063965","5.622015953063965","5.622015953063965","5.485442638397217","5.485442638397217","5.485442638397217","5.405405044555664","5.405405044555664","5.405405044555664","6.009588718414307","6.009588718414307","6.009588718414307","6.916080474853516","6.916080474853516","6.916080474853516"
"6000","5.727707386016846","5.727707386016846","5.727707386016846","5.736702919006348","5.736702919006348","5.736702919006348","5.801940441131592","5.801940441131592","5.801940441131592","6.371815204620361","6.371815204620361","6.371815204620361","6.919831275939941","6.919831275939941","6.919831275939941"
"8000","5.811983108520508","5.811983108520508","5.811983108520508","5.860449314117432","5.860449314117432","5.860449314117432","5.90252161026001","5.90252161026001","5.90252161026001","6.470180511474609","6.470180511474609","6.470180511474609","6.608003616333008","6.608003616333008","6.608003616333008"
"10000","5.8461222648620605","5.8461222648620605","5.8461222648620605","5.940815448760986","5.940815448760986","5.940815448760986","6.17992639541626","6.17992639541626","6.17992639541626","6.386236667633057","6.386236667633057","6.386236667633057","6.476632595062256","6.476632595062256","6.476632595062256"
"12000","5.926346302032471","5.926346302032471","5.926346302032471","5.938586711883545","5.938586711883545","5.938586711883545","6.109899044036865","6.109899044036865","6.109899044036865","6.529247760772705","6.529247760772705","6.529247760772705","6.187239170074463","6.187239170074463","6.187239170074463"
"14000","6.051651477813721","6.051651477813721","6.051651477813721","5.84223747253418","5.84223747253418","5.84223747253418","6.189126491546631","6.189126491546631","6.189126491546631","6.4768571853637695","6.4768571853637695","6.4768571853637695","4.9670796394348145","4.9670796394348145","4.9670796394348145"
"16000","5.827582836151123","5.827582836151123","5.827582836151123","5.690553665161133","5.690553665161133","5.690553665161133","6.151641845703125","6.151641845703125","6.151641845703125","6.490327835083008","6.490327835083008","6.490327835083008","3.4102911949157715","3.4102911949157715","3.4102911949157715"
"18000","5.456840991973877","5.456840991973877","5.456840991973877","5.566430568695068","5.566430568695068","5.566430568695068","6.2264933586120605","6.2264933586120605","6.2264933586120605","6.6300835609436035","6.6300835609436035","6.6300835609436035","2.4752631187438965","2.4752631187438965","2.4752631187438965"
"20000","4.974659442901611","4.974659442901611","4.974659442901611","5.267169952392578","5.267169952392578","5.267169952392578","6.316586971282959","6.316586971282959","6.316586971282959","6.58363676071167","6.58363676071167","6.58363676071167","2.095606565475464","2.095606565475464","2.095606565475464"
