
[AE] epoch: 1/150(0.67%), time: 0:00:30, loss: 0.3553769411643346, best epoch: 1, best loss: 0.3553769411643346
[AE] epoch: 2/150(1.33%), time: 0:00:31, loss: 0.21644527196884156, best epoch: 2, best loss: 0.21644527196884156
[AE] epoch: 3/150(2.00%), time: 0:00:33, loss: 0.1593671402335167, best epoch: 3, best loss: 0.1593671402335167
[AE] epoch: 4/150(2.67%), time: 0:00:34, loss: 0.1400503201285998, best epoch: 4, best loss: 0.1400503201285998
[AE] epoch: 5/150(3.33%), time: 0:00:36, loss: 0.1293486081560453, best epoch: 5, best loss: 0.1293486081560453
[AE] epoch: 6/150(4.00%), time: 0:00:37, loss: 0.12266303221384685, best epoch: 6, best loss: 0.12266303221384685
[AE] epoch: 7/150(4.67%), time: 0:00:38, loss: 0.11636351466178894, best epoch: 7, best loss: 0.11636351466178894
[AE] epoch: 8/150(5.33%), time: 0:00:40, loss: 0.11175165007511775, best epoch: 8, best loss: 0.11175165007511775
[AE] epoch: 9/150(6.00%), time: 0:00:41, loss: 0.10730563282966614, best epoch: 9, best loss: 0.10730563282966614
[AE] epoch: 10/150(6.67%), time: 0:00:42, loss: 0.10434250553448995, best epoch: 10, best loss: 0.10434250553448995
[AE] epoch: 11/150(7.33%), time: 0:00:44, loss: 0.10076047211885453, best epoch: 11, best loss: 0.10076047211885453
[AE] epoch: 12/150(8.00%), time: 0:00:45, loss: 0.09739373832941055, best epoch: 12, best loss: 0.09739373832941055
[AE] epoch: 13/150(8.67%), time: 0:00:47, loss: 0.0940211354692777, best epoch: 13, best loss: 0.0940211354692777
[AE] epoch: 14/150(9.33%), time: 0:00:48, loss: 0.09059958557287852, best epoch: 14, best loss: 0.09059958557287852
[AE] epoch: 15/150(10.00%), time: 0:00:49, loss: 0.08830402900775274, best epoch: 15, best loss: 0.08830402900775274
[AE] epoch: 16/150(10.67%), time: 0:00:51, loss: 0.08571764677762986, best epoch: 16, best loss: 0.08571764677762986
[AE] epoch: 17/150(11.33%), time: 0:00:52, loss: 0.08384448289871216, best epoch: 17, best loss: 0.08384448289871216
[AE] epoch: 18/150(12.00%), time: 0:00:53, loss: 0.08227776368459065, best epoch: 18, best loss: 0.08227776368459065
[AE] epoch: 19/150(12.67%), time: 0:00:55, loss: 0.08086664229631424, best epoch: 19, best loss: 0.08086664229631424
[AE] epoch: 20/150(13.33%), time: 0:00:56, loss: 0.07970641314983368, best epoch: 20, best loss: 0.07970641314983368
[AE] epoch: 21/150(14.00%), time: 0:00:58, loss: 0.07869025458892187, best epoch: 21, best loss: 0.07869025458892187
[AE] epoch: 22/150(14.67%), time: 0:00:59, loss: 0.07758537262678146, best epoch: 22, best loss: 0.07758537262678146
[AE] epoch: 23/150(15.33%), time: 0:01:00, loss: 0.07674558122952779, best epoch: 23, best loss: 0.07674558122952779
[AE] epoch: 24/150(16.00%), time: 0:01:02, loss: 0.07583175634344419, best epoch: 24, best loss: 0.07583175634344419
[AE] epoch: 25/150(16.67%), time: 0:01:03, loss: 0.07513638799389204, best epoch: 25, best loss: 0.07513638799389204
[AE] epoch: 26/150(17.33%), time: 0:01:04, loss: 0.07430111447970073, best epoch: 26, best loss: 0.07430111447970073
[AE] epoch: 27/150(18.00%), time: 0:01:06, loss: 0.07357620502511661, best epoch: 27, best loss: 0.07357620502511661
[AE] epoch: 28/150(18.67%), time: 0:01:07, loss: 0.07295714944601059, best epoch: 28, best loss: 0.07295714944601059
[AE] epoch: 29/150(19.33%), time: 0:01:08, loss: 0.07224016929666201, best epoch: 29, best loss: 0.07224016929666201
[AE] epoch: 30/150(20.00%), time: 0:01:10, loss: 0.07127996315558752, best epoch: 30, best loss: 0.07127996315558752
[AE] epoch: 31/150(20.67%), time: 0:01:11, loss: 0.07073365300893783, best epoch: 31, best loss: 0.07073365300893783
[AE] epoch: 32/150(21.33%), time: 0:01:12, loss: 0.07017853125929832, best epoch: 32, best loss: 0.07017853125929832
[AE] epoch: 33/150(22.00%), time: 0:01:14, loss: 0.06976532151301702, best epoch: 33, best loss: 0.06976532151301702
[AE] epoch: 34/150(22.67%), time: 0:01:15, loss: 0.06955121154586474, best epoch: 34, best loss: 0.06955121154586474
[AE] epoch: 35/150(23.33%), time: 0:01:17, loss: 0.0687393894791603, best epoch: 35, best loss: 0.0687393894791603
[AE] epoch: 36/150(24.00%), time: 0:01:18, loss: 0.0684097973505656, best epoch: 36, best loss: 0.0684097973505656
[AE] epoch: 37/150(24.67%), time: 0:01:19, loss: 0.06807273358106614, best epoch: 37, best loss: 0.06807273358106614
[AE] epoch: 38/150(25.33%), time: 0:01:21, loss: 0.06777977913618088, best epoch: 38, best loss: 0.06777977913618088
[AE] epoch: 39/150(26.00%), time: 0:01:22, loss: 0.06726341798901558, best epoch: 39, best loss: 0.06726341798901558
[AE] epoch: 40/150(26.67%), time: 0:01:23, loss: 0.0670445616543293, best epoch: 40, best loss: 0.0670445616543293
[AE] epoch: 41/150(27.33%), time: 0:01:25, loss: 0.06657596270243327, best epoch: 41, best loss: 0.06657596270243327
[AE] epoch: 42/150(28.00%), time: 0:01:26, loss: 0.06635612850387891, best epoch: 42, best loss: 0.06635612850387891
[AE] epoch: 43/150(28.67%), time: 0:01:28, loss: 0.06595319668451945, best epoch: 43, best loss: 0.06595319668451945
[AE] epoch: 44/150(29.33%), time: 0:01:29, loss: 0.06566721697648366, best epoch: 44, best loss: 0.06566721697648366
[AE] epoch: 45/150(30.00%), time: 0:01:30, loss: 0.06542405143380164, best epoch: 45, best loss: 0.06542405143380164
[AE] epoch: 46/150(30.67%), time: 0:01:32, loss: 0.06493904848893484, best epoch: 46, best loss: 0.06493904848893484
[AE] epoch: 47/150(31.33%), time: 0:01:33, loss: 0.06474122603734335, best epoch: 47, best loss: 0.06474122603734335
[AE] epoch: 48/150(32.00%), time: 0:01:35, loss: 0.0642716949681441, best epoch: 48, best loss: 0.0642716949681441
[AE] epoch: 49/150(32.67%), time: 0:01:36, loss: 0.06412192990382512, best epoch: 49, best loss: 0.06412192990382512
[AE] epoch: 50/150(33.33%), time: 0:01:37, loss: 0.06381841585040092, best epoch: 50, best loss: 0.06381841585040092
[AE] epoch: 51/150(34.00%), time: 0:01:39, loss: 0.06384679928421974, best epoch: 50, best loss: 0.06381841585040092
[AE] epoch: 52/150(34.67%), time: 0:01:40, loss: 0.06343484858671825, best epoch: 52, best loss: 0.06343484858671825
[AE] epoch: 53/150(35.33%), time: 0:01:41, loss: 0.06313725858926773, best epoch: 53, best loss: 0.06313725858926773
[AE] epoch: 54/150(36.00%), time: 0:01:43, loss: 0.06292606562376023, best epoch: 54, best loss: 0.06292606562376023
[AE] epoch: 55/150(36.67%), time: 0:01:44, loss: 0.06262438426415126, best epoch: 55, best loss: 0.06262438426415126
[AE] epoch: 56/150(37.33%), time: 0:01:45, loss: 0.06226780732472738, best epoch: 56, best loss: 0.06226780732472738
[AE] epoch: 57/150(38.00%), time: 0:01:47, loss: 0.06195698653658231, best epoch: 57, best loss: 0.06195698653658231
[AE] epoch: 58/150(38.67%), time: 0:01:48, loss: 0.061677181671063105, best epoch: 58, best loss: 0.061677181671063105
[AE] epoch: 59/150(39.33%), time: 0:01:50, loss: 0.061338132123152415, best epoch: 59, best loss: 0.061338132123152415
[AE] epoch: 60/150(40.00%), time: 0:01:51, loss: 0.06090066745877266, best epoch: 60, best loss: 0.06090066745877266
[AE] epoch: 61/150(40.67%), time: 0:01:52, loss: 0.060736528088649114, best epoch: 61, best loss: 0.060736528088649114
[AE] epoch: 62/150(41.33%), time: 0:01:54, loss: 0.060363440662622454, best epoch: 62, best loss: 0.060363440662622454
[AE] epoch: 63/150(42.00%), time: 0:01:55, loss: 0.060271547536055244, best epoch: 63, best loss: 0.060271547536055244
[AE] epoch: 64/150(42.67%), time: 0:01:56, loss: 0.05995406945546468, best epoch: 64, best loss: 0.05995406945546468
[AE] epoch: 65/150(43.33%), time: 0:01:58, loss: 0.05983288412292798, best epoch: 65, best loss: 0.05983288412292798
[AE] epoch: 66/150(44.00%), time: 0:01:59, loss: 0.05962151557207108, best epoch: 66, best loss: 0.05962151557207108
[AE] epoch: 67/150(44.67%), time: 0:02:01, loss: 0.0594452115893364, best epoch: 67, best loss: 0.0594452115893364
[AE] epoch: 68/150(45.33%), time: 0:02:02, loss: 0.059293498744567234, best epoch: 68, best loss: 0.059293498744567234
[AE] epoch: 69/150(46.00%), time: 0:02:03, loss: 0.0590992733836174, best epoch: 69, best loss: 0.0590992733836174
[AE] epoch: 70/150(46.67%), time: 0:02:05, loss: 0.05890042513608933, best epoch: 70, best loss: 0.05890042513608933
[AE] epoch: 71/150(47.33%), time: 0:02:06, loss: 0.05874042883515358, best epoch: 71, best loss: 0.05874042883515358
[AE] epoch: 72/150(48.00%), time: 0:02:07, loss: 0.05863642672697703, best epoch: 72, best loss: 0.05863642672697703
[AE] epoch: 73/150(48.67%), time: 0:02:09, loss: 0.05850688969095548, best epoch: 73, best loss: 0.05850688969095548
[AE] epoch: 74/150(49.33%), time: 0:02:10, loss: 0.05835562696059545, best epoch: 74, best loss: 0.05835562696059545
[AE] epoch: 75/150(50.00%), time: 0:02:12, loss: 0.05825156256556511, best epoch: 75, best loss: 0.05825156256556511
[AE] epoch: 76/150(50.67%), time: 0:02:13, loss: 0.05808282335599264, best epoch: 76, best loss: 0.05808282335599264
[AE] epoch: 77/150(51.33%), time: 0:02:14, loss: 0.05800154050191243, best epoch: 77, best loss: 0.05800154050191243
[AE] epoch: 78/150(52.00%), time: 0:02:16, loss: 0.05767350246508916, best epoch: 78, best loss: 0.05767350246508916
[AE] epoch: 79/150(52.67%), time: 0:02:17, loss: 0.05750530193249385, best epoch: 79, best loss: 0.05750530193249385
[AE] epoch: 80/150(53.33%), time: 0:02:18, loss: 0.05734796181321144, best epoch: 80, best loss: 0.05734796181321144
[AE] epoch: 81/150(54.00%), time: 0:02:20, loss: 0.0571521074573199, best epoch: 81, best loss: 0.0571521074573199
[AE] epoch: 82/150(54.67%), time: 0:02:21, loss: 0.056955608675877255, best epoch: 82, best loss: 0.056955608675877255
[AE] epoch: 83/150(55.33%), time: 0:02:23, loss: 0.05683421184619268, best epoch: 83, best loss: 0.05683421184619268
[AE] epoch: 84/150(56.00%), time: 0:02:24, loss: 0.056709658453861875, best epoch: 84, best loss: 0.056709658453861875
[AE] epoch: 85/150(56.67%), time: 0:02:25, loss: 0.05660729110240936, best epoch: 85, best loss: 0.05660729110240936
[AE] epoch: 86/150(57.33%), time: 0:02:27, loss: 0.056458388964335124, best epoch: 86, best loss: 0.056458388964335124
[AE] epoch: 87/150(58.00%), time: 0:02:28, loss: 0.056353546331326165, best epoch: 87, best loss: 0.056353546331326165
[AE] epoch: 88/150(58.67%), time: 0:02:29, loss: 0.05615282386541367, best epoch: 88, best loss: 0.05615282386541367
[AE] epoch: 89/150(59.33%), time: 0:02:31, loss: 0.05602627873420715, best epoch: 89, best loss: 0.05602627873420715
