
[AE] epoch: 1/150(0.67%), time: 0:00:30, loss: 0.3553765499591827, best epoch: 1, best loss: 0.3553765499591827
[AE] epoch: 2/150(1.33%), time: 0:00:32, loss: 0.21643472691377005, best epoch: 2, best loss: 0.21643472691377005
[AE] epoch: 3/150(2.00%), time: 0:00:33, loss: 0.15936195294062297, best epoch: 3, best loss: 0.15936195294062297
[AE] epoch: 4/150(2.67%), time: 0:00:34, loss: 0.14002968966960908, best epoch: 4, best loss: 0.14002968966960908
[AE] epoch: 5/150(3.33%), time: 0:00:36, loss: 0.12943394213914872, best epoch: 5, best loss: 0.12943394213914872
[AE] epoch: 6/150(4.00%), time: 0:00:37, loss: 0.12258479257424672, best epoch: 6, best loss: 0.12258479257424672
[AE] epoch: 7/150(4.67%), time: 0:00:39, loss: 0.1162069879968961, best epoch: 7, best loss: 0.1162069879968961
[AE] epoch: 8/150(5.33%), time: 0:00:40, loss: 0.11163951526085536, best epoch: 8, best loss: 0.11163951526085536
[AE] epoch: 9/150(6.00%), time: 0:00:41, loss: 0.10757289975881576, best epoch: 9, best loss: 0.10757289975881576
[AE] epoch: 10/150(6.67%), time: 0:00:43, loss: 0.10425837049881617, best epoch: 10, best loss: 0.10425837049881617
[AE] epoch: 11/150(7.33%), time: 0:00:44, loss: 0.10053658137718836, best epoch: 11, best loss: 0.10053658137718836
[AE] epoch: 12/150(8.00%), time: 0:00:45, loss: 0.09737437556187312, best epoch: 12, best loss: 0.09737437556187312
[AE] epoch: 13/150(8.67%), time: 0:00:47, loss: 0.09380246758460999, best epoch: 13, best loss: 0.09380246758460999
[AE] epoch: 14/150(9.33%), time: 0:00:48, loss: 0.09064150263865789, best epoch: 14, best loss: 0.09064150263865789
[AE] epoch: 15/150(10.00%), time: 0:00:50, loss: 0.088501698076725, best epoch: 15, best loss: 0.088501698076725
[AE] epoch: 16/150(10.67%), time: 0:00:51, loss: 0.08590484937032064, best epoch: 16, best loss: 0.08590484937032064
[AE] epoch: 17/150(11.33%), time: 0:00:52, loss: 0.08388024350007375, best epoch: 17, best loss: 0.08388024350007375
[AE] epoch: 18/150(12.00%), time: 0:00:54, loss: 0.08231348057587941, best epoch: 18, best loss: 0.08231348057587941
[AE] epoch: 19/150(12.67%), time: 0:00:55, loss: 0.080924208064874, best epoch: 19, best loss: 0.080924208064874
[AE] epoch: 20/150(13.33%), time: 0:00:57, loss: 0.0796241440375646, best epoch: 20, best loss: 0.0796241440375646
[AE] epoch: 21/150(14.00%), time: 0:00:58, loss: 0.07865562121073405, best epoch: 21, best loss: 0.07865562121073405
[AE] epoch: 22/150(14.67%), time: 0:00:59, loss: 0.0777243652443091, best epoch: 22, best loss: 0.0777243652443091
[AE] epoch: 23/150(15.33%), time: 0:01:01, loss: 0.07662770057717959, best epoch: 23, best loss: 0.07662770057717959
[AE] epoch: 24/150(16.00%), time: 0:01:02, loss: 0.07606095572312672, best epoch: 24, best loss: 0.07606095572312672
[AE] epoch: 25/150(16.67%), time: 0:01:04, loss: 0.07482328683137894, best epoch: 25, best loss: 0.07482328683137894
[AE] epoch: 26/150(17.33%), time: 0:01:05, loss: 0.07404721190532049, best epoch: 26, best loss: 0.07404721190532049
[AE] epoch: 27/150(18.00%), time: 0:01:06, loss: 0.07344093779722849, best epoch: 27, best loss: 0.07344093779722849
[AE] epoch: 28/150(18.67%), time: 0:01:08, loss: 0.07263483464717865, best epoch: 28, best loss: 0.07263483464717865
[AE] epoch: 29/150(19.33%), time: 0:01:09, loss: 0.07206184228261311, best epoch: 29, best loss: 0.07206184228261311
[AE] epoch: 30/150(20.00%), time: 0:01:11, loss: 0.07151788532733917, best epoch: 30, best loss: 0.07151788532733917
[AE] epoch: 31/150(20.67%), time: 0:01:12, loss: 0.07086770951747895, best epoch: 31, best loss: 0.07086770951747895
[AE] epoch: 32/150(21.33%), time: 0:01:13, loss: 0.0704223321378231, best epoch: 32, best loss: 0.0704223321378231
[AE] epoch: 33/150(22.00%), time: 0:01:15, loss: 0.06972088252504667, best epoch: 33, best loss: 0.06972088252504667
[AE] epoch: 34/150(22.67%), time: 0:01:16, loss: 0.06910824517409007, best epoch: 34, best loss: 0.06910824517409007
[AE] epoch: 35/150(23.33%), time: 0:01:18, loss: 0.06871087506413459, best epoch: 35, best loss: 0.06871087506413459
[AE] epoch: 36/150(24.00%), time: 0:01:19, loss: 0.06826333423455556, best epoch: 36, best loss: 0.06826333423455556
[AE] epoch: 37/150(24.67%), time: 0:01:20, loss: 0.06786169658104578, best epoch: 37, best loss: 0.06786169658104578
[AE] epoch: 38/150(25.33%), time: 0:01:22, loss: 0.06768707225720087, best epoch: 38, best loss: 0.06768707225720087
[AE] epoch: 39/150(26.00%), time: 0:01:23, loss: 0.06718660215536754, best epoch: 39, best loss: 0.06718660215536754
[AE] epoch: 40/150(26.67%), time: 0:01:25, loss: 0.0671052947640419, best epoch: 40, best loss: 0.0671052947640419
[AE] epoch: 41/150(27.33%), time: 0:01:26, loss: 0.06643562470873197, best epoch: 41, best loss: 0.06643562470873197
[AE] epoch: 42/150(28.00%), time: 0:01:27, loss: 0.06618161261081695, best epoch: 42, best loss: 0.06618161261081695
[AE] epoch: 43/150(28.67%), time: 0:01:29, loss: 0.06570178359746932, best epoch: 43, best loss: 0.06570178359746932
[AE] epoch: 44/150(29.33%), time: 0:01:30, loss: 0.06535360862811407, best epoch: 44, best loss: 0.06535360862811407
[AE] epoch: 45/150(30.00%), time: 0:01:32, loss: 0.06496867895126343, best epoch: 45, best loss: 0.06496867895126343
[AE] epoch: 46/150(30.67%), time: 0:01:33, loss: 0.06466393704215685, best epoch: 46, best loss: 0.06466393704215685
[AE] epoch: 47/150(31.33%), time: 0:01:34, loss: 0.06431434000531833, best epoch: 47, best loss: 0.06431434000531833
[AE] epoch: 48/150(32.00%), time: 0:01:36, loss: 0.06383469040195147, best epoch: 48, best loss: 0.06383469040195147
[AE] epoch: 49/150(32.67%), time: 0:01:37, loss: 0.06365238040685654, best epoch: 49, best loss: 0.06365238040685654
[AE] epoch: 50/150(33.33%), time: 0:01:39, loss: 0.06341556588808696, best epoch: 50, best loss: 0.06341556588808696
[AE] epoch: 51/150(34.00%), time: 0:01:40, loss: 0.06315068592627843, best epoch: 51, best loss: 0.06315068592627843
[AE] epoch: 52/150(34.67%), time: 0:01:41, loss: 0.06290912002325058, best epoch: 52, best loss: 0.06290912002325058
[AE] epoch: 53/150(35.33%), time: 0:01:43, loss: 0.06263019412755966, best epoch: 53, best loss: 0.06263019412755966
[AE] epoch: 54/150(36.00%), time: 0:01:44, loss: 0.0622941850622495, best epoch: 54, best loss: 0.0622941850622495
[AE] epoch: 55/150(36.67%), time: 0:01:46, loss: 0.06207056870063146, best epoch: 55, best loss: 0.06207056870063146
[AE] epoch: 56/150(37.33%), time: 0:01:47, loss: 0.06179081385334333, best epoch: 56, best loss: 0.06179081385334333
[AE] epoch: 57/150(38.00%), time: 0:01:48, loss: 0.06161182756225268, best epoch: 57, best loss: 0.06161182756225268
[AE] epoch: 58/150(38.67%), time: 0:01:50, loss: 0.06136461988091469, best epoch: 58, best loss: 0.06136461988091469
[AE] epoch: 59/150(39.33%), time: 0:01:51, loss: 0.061159207671880725, best epoch: 59, best loss: 0.061159207671880725
[AE] epoch: 60/150(40.00%), time: 0:01:53, loss: 0.06093784585595131, best epoch: 60, best loss: 0.06093784585595131
[AE] epoch: 61/150(40.67%), time: 0:01:54, loss: 0.060687921941280365, best epoch: 61, best loss: 0.060687921941280365
[AE] epoch: 62/150(41.33%), time: 0:01:55, loss: 0.060446057866017026, best epoch: 62, best loss: 0.060446057866017026
[AE] epoch: 63/150(42.00%), time: 0:01:57, loss: 0.060233279665311175, best epoch: 63, best loss: 0.060233279665311175
[AE] epoch: 64/150(42.67%), time: 0:01:58, loss: 0.060065949509541194, best epoch: 64, best loss: 0.060065949509541194
[AE] epoch: 65/150(43.33%), time: 0:02:00, loss: 0.0599188639720281, best epoch: 65, best loss: 0.0599188639720281
[AE] epoch: 66/150(44.00%), time: 0:02:01, loss: 0.059767358551422754, best epoch: 66, best loss: 0.059767358551422754
[AE] epoch: 67/150(44.67%), time: 0:02:02, loss: 0.05957962696750959, best epoch: 67, best loss: 0.05957962696750959
[AE] epoch: 68/150(45.33%), time: 0:02:04, loss: 0.05939672370751699, best epoch: 68, best loss: 0.05939672370751699
[AE] epoch: 69/150(46.00%), time: 0:02:05, loss: 0.05922105386853218, best epoch: 69, best loss: 0.05922105386853218
[AE] epoch: 70/150(46.67%), time: 0:02:07, loss: 0.05907188882430395, best epoch: 70, best loss: 0.05907188882430395
[AE] epoch: 71/150(47.33%), time: 0:02:08, loss: 0.058804210275411606, best epoch: 71, best loss: 0.058804210275411606
[AE] epoch: 72/150(48.00%), time: 0:02:09, loss: 0.058639374126990634, best epoch: 72, best loss: 0.058639374126990634
[AE] epoch: 73/150(48.67%), time: 0:02:11, loss: 0.05851531888047854, best epoch: 73, best loss: 0.05851531888047854
[AE] epoch: 74/150(49.33%), time: 0:02:12, loss: 0.05834715560078621, best epoch: 74, best loss: 0.05834715560078621
[AE] epoch: 75/150(50.00%), time: 0:02:14, loss: 0.058274859289328254, best epoch: 75, best loss: 0.058274859289328254
