
[AE] epoch: 1/150(0.67%), time: 0:01:10, loss: 0.39711582283657715, best epoch: 1, best loss: 0.39711582283657715
[AE] epoch: 2/150(1.33%), time: 0:01:14, loss: 0.1560228145625218, best epoch: 2, best loss: 0.1560228145625218
[AE] epoch: 3/150(2.00%), time: 0:01:17, loss: 0.11735429668641952, best epoch: 3, best loss: 0.11735429668641952
[AE] epoch: 4/150(2.67%), time: 0:01:20, loss: 0.1016304629394807, best epoch: 4, best loss: 0.1016304629394807
[AE] epoch: 5/150(3.33%), time: 0:01:24, loss: 0.09250727619033262, best epoch: 5, best loss: 0.09250727619033262
[AE] epoch: 6/150(4.00%), time: 0:01:27, loss: 0.08638393044112677, best epoch: 6, best loss: 0.08638393044112677
[AE] epoch: 7/150(4.67%), time: 0:01:30, loss: 0.08210113451602948, best epoch: 7, best loss: 0.08210113451602948
[AE] epoch: 8/150(5.33%), time: 0:01:33, loss: 0.07884409565882511, best epoch: 8, best loss: 0.07884409565882511
[AE] epoch: 9/150(6.00%), time: 0:01:36, loss: 0.07561131252581815, best epoch: 9, best loss: 0.07561131252581815
[AE] epoch: 10/150(6.67%), time: 0:01:40, loss: 0.07342080632785716, best epoch: 10, best loss: 0.07342080632785716
[AE] epoch: 11/150(7.33%), time: 0:01:43, loss: 0.07099748748433159, best epoch: 11, best loss: 0.07099748748433159
[AE] epoch: 12/150(8.00%), time: 0:01:46, loss: 0.06904855855258114, best epoch: 12, best loss: 0.06904855855258114
[AE] epoch: 13/150(8.67%), time: 0:01:49, loss: 0.06781849067613303, best epoch: 13, best loss: 0.06781849067613303
[AE] epoch: 14/150(9.33%), time: 0:01:52, loss: 0.0663961175245693, best epoch: 14, best loss: 0.0663961175245693
[AE] epoch: 15/150(10.00%), time: 0:01:56, loss: 0.0648979038808001, best epoch: 15, best loss: 0.0648979038808001
[AE] epoch: 16/150(10.67%), time: 0:01:59, loss: 0.06444539870303798, best epoch: 16, best loss: 0.06444539870303798
[AE] epoch: 17/150(11.33%), time: 0:02:02, loss: 0.06294680341898677, best epoch: 17, best loss: 0.06294680341898677
[AE] epoch: 18/150(12.00%), time: 0:02:05, loss: 0.06236827476735575, best epoch: 18, best loss: 0.06236827476735575
[AE] epoch: 19/150(12.67%), time: 0:02:07, loss: 0.06115974517292287, best epoch: 19, best loss: 0.06115974517292287
[AE] epoch: 20/150(13.33%), time: 0:02:11, loss: 0.060502852840595936, best epoch: 20, best loss: 0.060502852840595936
[AE] epoch: 21/150(14.00%), time: 0:02:13, loss: 0.05964329668197287, best epoch: 21, best loss: 0.05964329668197287
[AE] epoch: 22/150(14.67%), time: 0:02:16, loss: 0.058949796954192314, best epoch: 22, best loss: 0.058949796954192314
[AE] epoch: 23/150(15.33%), time: 0:02:19, loss: 0.05825985819998994, best epoch: 23, best loss: 0.05825985819998994
[AE] epoch: 24/150(16.00%), time: 0:02:22, loss: 0.05754517786294581, best epoch: 24, best loss: 0.05754517786294581
[AE] epoch: 25/150(16.67%), time: 0:02:25, loss: 0.056908739169678056, best epoch: 25, best loss: 0.056908739169678056
[AE] epoch: 26/150(17.33%), time: 0:02:29, loss: 0.05648427631661116, best epoch: 26, best loss: 0.05648427631661116
[AE] epoch: 27/150(18.00%), time: 0:02:32, loss: 0.0556543144924813, best epoch: 27, best loss: 0.0556543144924813
[AE] epoch: 28/150(18.67%), time: 0:02:35, loss: 0.05534150958599814, best epoch: 28, best loss: 0.05534150958599814
[AE] epoch: 29/150(19.33%), time: 0:02:37, loss: 0.05464788589132837, best epoch: 29, best loss: 0.05464788589132837
[AE] epoch: 30/150(20.00%), time: 0:02:41, loss: 0.05432137649461447, best epoch: 30, best loss: 0.05432137649461447
[AE] epoch: 31/150(20.67%), time: 0:02:44, loss: 0.05361973696264876, best epoch: 31, best loss: 0.05361973696264876
[AE] epoch: 32/150(21.33%), time: 0:02:47, loss: 0.05356687863907182, best epoch: 32, best loss: 0.05356687863907182
[AE] epoch: 33/150(22.00%), time: 0:02:50, loss: 0.052735825439533555, best epoch: 33, best loss: 0.052735825439533555
[AE] epoch: 34/150(22.67%), time: 0:02:53, loss: 0.05278489060969238, best epoch: 33, best loss: 0.052735825439533555
